,lat,lon,Ca_r,Cf_r,An_r,rms
32,73.479104,204.494911,0.97997,2.40047,0.6353300000000001,5.41
33,73.479239,204.496663,0.97997,2.40047,0.6353300000000001,5.08
34,73.47937399999999,204.498415,0.97997,2.40047,0.6353300000000001,5.83
35,73.479254,204.496859,0.97997,2.40047,0.6353300000000001,4.94
36,73.478851,204.49516,0.97997,2.40047,0.6353300000000001,5.14
37,73.47898599999999,204.496909,0.97997,2.40047,0.6353300000000001,5.64
38,73.47912099999999,204.498658,0.97997,2.40047,0.6353300000000001,6.81
39,73.479001,204.497101,0.97997,2.40047,0.6353300000000001,5.37
40,73.478598,204.495399,0.97997,2.40047,0.6353300000000001,5.24
41,73.47873299999999,204.497149,0.97997,2.40047,0.6353300000000001,5.58
42,73.478868,204.498899,0.97997,2.40047,0.6353300000000001,17.09
43,73.478748,204.497342,0.97997,2.40047,0.6353300000000001,6.23
44,73.47834499999999,204.495637,0.97997,2.40047,0.6353300000000001,5.24
45,73.47848,204.497388,1.07287,2.09179,0.62634,7.71
46,73.478615,204.49914,1.07287,2.09179,0.62634,11.86
47,73.478495,204.497584,1.07287,2.09179,0.62634,7.88
48,73.478091,204.495872,1.07287,2.09179,0.62634,5.4
49,73.478226,204.497626,1.07287,2.09179,0.62634,12.41
50,73.478362,204.49938,1.07287,2.09179,0.62634,6.03
51,73.47824200000001,204.497825,1.07287,2.09179,0.62634,10.64
52,73.477838,204.496107,1.07287,2.09179,0.62634,5.33
53,73.47797299999999,204.497861,1.07287,2.09179,0.62634,13.28
54,73.47810799999999,204.499615,1.07287,2.09179,0.62634,7.33
55,73.47798900000001,204.498067,1.07287,2.09179,0.62634,12.87
56,73.477584,204.496343,1.07287,2.09179,0.62634,6.48
57,73.47771999999999,204.498096,1.07287,2.09179,0.62634,9.29
58,73.477855,204.49985,1.07287,2.09179,0.62634,6.76
59,73.477736,204.498308,1.07287,2.09179,0.62634,9.48
60,73.477331,204.496583,1.07287,2.09179,0.62634,10.71
61,73.477466,204.498335,1.07287,2.09179,0.62634,7.94
62,73.477601,204.500087,1.07287,2.09179,0.62634,6.27
63,73.47748299999999,204.498549,1.07287,2.09179,0.62634,8.67
64,73.477078,204.496823,1.0399,2.02586,0.6383300000000001,17.25
65,73.477213,204.498573,1.07287,2.09179,0.62634,12.5
66,73.47734799999999,204.500323,1.07287,2.09179,0.62634,4.74
67,73.47723,204.498791,1.07287,2.09179,0.62634,11.83
68,73.476825,204.497063,1.0399,2.02586,0.6383300000000001,11.8
69,73.47695999999999,204.498812,1.07287,2.09179,0.62634,11.23
70,73.47709499999999,204.500561,1.07287,2.09179,0.62634,5.33
71,73.476977,204.499033,1.07287,2.09179,0.62634,10.13
72,73.47657199999999,204.497305,1.0399,2.02586,0.6383300000000001,6.24
73,73.47670699999999,204.499055,1.07287,2.09179,0.62634,7.39
74,73.476842,204.500804,1.07287,2.09179,0.62634,5.59
75,73.476724,204.499274,1.07287,2.09179,0.62634,7.83
76,73.47631899999999,204.497548,1.0399,2.02586,0.6383300000000001,5.38
77,73.476454,204.499297,1.07287,2.09179,0.62634,8.78
78,73.476589,204.501046,1.07287,2.09179,0.62634,5.91
79,73.47647099999999,204.499516,1.07287,2.09179,0.62634,9.18
80,73.476065,204.497792,1.0399,2.02586,0.6383300000000001,7.28
81,73.476201,204.499541,1.07287,2.09179,0.62634,14.24
82,73.476336,204.50129,1.07287,2.09179,0.62634,6.13
83,73.476218,204.499757,1.07287,2.09179,0.62634,11.27
84,73.475813,204.498036,1.0399,2.02586,0.6383300000000001,6.42
85,73.475948,204.499786,1.14779,2.22965,0.65031,16.06
86,73.476083,204.501536,1.14779,2.22965,0.65031,6.07
87,73.475965,204.5,1.14779,2.22965,0.65031,12.72
88,73.47556,204.49828,1.11482,1.96593,0.65031,5.11
89,73.475695,204.50003,1.14779,2.22965,0.65031,14.7
90,73.475831,204.501779,1.14779,2.22965,0.65031,6.57
91,73.475712,204.50024,1.14779,2.22965,0.65031,11.19
92,73.475307,204.498523,1.11482,1.96593,0.65031,5.28
93,73.475443,204.500273,1.11482,1.96593,0.65031,6.45
94,73.475578,204.502024,1.14779,2.22965,0.65031,6.86
