,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
5662,152,86922,74.069503,214.66031,0.8235899999999999,1.3901,0.5964,5.9
5663,152,86922,74.069211,214.661847,0.82957,1.38412,0.60088,6.14
5664,152,86922,74.06891999999998,214.663385,0.82957,1.38412,0.60088,6.08
5665,152,86922,74.069179,214.662018,0.82957,1.38412,0.60088,6.22
5666,152,86922,74.06926,214.659693,0.82957,1.38412,0.60088,6.13
5667,152,86922,74.068969,214.661234,0.82957,1.38412,0.60088,6.33
5668,152,86922,74.06867700000002,214.662775,0.82957,1.38412,0.60088,6.21
5669,152,86922,74.068936,214.661405,0.82957,1.38412,0.60088,6.58
5670,152,86922,74.06902099999998,214.659089,0.82957,1.38412,0.60088,6.03
5671,152,86922,74.068725,214.66062,0.82957,1.38412,0.60088,6.16
5672,152,86922,74.06842900000002,214.662152,0.82957,1.38412,0.60088,6.23
5673,152,86922,74.068688,214.660811,0.82957,1.38412,0.60088,6.52
5674,152,86922,74.068779,214.65848,0.8325600000000001,1.37216,0.59341,6.03
5675,152,86922,74.068486,214.660016,0.82957,1.38412,0.60088,6.26
5676,152,86922,74.06819399999998,214.661553,0.82957,1.38412,0.60088,6.32
5677,152,86922,74.06845200000002,214.66019900000003,0.82957,1.38412,0.60088,6.71
5678,152,86922,74.068536,214.657864,0.8325600000000001,1.37216,0.59341,6.01
5679,152,86922,74.06824399999998,214.659403,0.8325600000000001,1.37216,0.59341,5.74
5680,152,86922,74.067952,214.660942,0.82957,1.38412,0.60088,6.42
5681,152,86922,74.068209,214.659586,0.8325600000000001,1.37216,0.59341,6.3
5682,152,86922,74.068291,214.657244,0.8325600000000001,1.37216,0.59341,5.83
5683,152,86922,74.068001,214.658793,0.8325600000000001,1.37216,0.59341,5.69
5684,152,86922,74.067711,214.660343,0.8325600000000001,1.37216,0.59341,6.29
5685,152,86922,74.06796899999998,214.658966,0.8325600000000001,1.37216,0.59341,5.99
5686,152,86922,74.068051,214.65664,0.8325600000000001,1.37216,0.59341,5.78
5687,152,86922,74.067758,214.658176,0.8325600000000001,1.37216,0.59341,6.15
5688,152,86922,74.067465,214.659713,0.8325600000000001,1.37216,0.59341,6.32
5689,152,86922,74.067722,214.658367,0.8325600000000001,1.37216,0.59341,6.06
5690,152,86922,74.06781600000002,214.65604700000003,0.8325600000000001,1.37216,0.59341,5.8
5691,152,86922,74.067523,214.657587,0.8325600000000001,1.37216,0.59341,5.88
5692,152,86922,74.067229,214.659126,0.8325600000000001,1.37216,0.59341,6.13
5693,152,86922,74.067486,214.657777,0.8325600000000001,1.37216,0.59341,5.8
5694,152,86922,74.06756899999998,214.655438,0.8325600000000001,1.37216,0.59341,5.72
5695,152,86922,74.067279,214.656978,0.8325600000000001,1.37216,0.59341,6.05
5696,152,86922,74.066989,214.658518,0.8325600000000001,1.37216,0.59341,5.87
5697,152,86922,74.067245,214.657157,0.8325600000000001,1.37216,0.59341,5.94
5698,152,86922,74.067325,214.654823,0.8325600000000001,1.37216,0.59341,5.58
5699,152,86922,74.067033,214.656363,0.8325600000000001,1.37216,0.59341,6.12
5700,152,86922,74.066742,214.657903,0.8325600000000001,1.37216,0.59341,5.61
5701,152,86922,74.066999,214.656544,0.8325600000000001,1.37216,0.59341,5.99
5702,152,86922,74.067081,214.654217,0.8325600000000001,1.37216,0.59341,5.54
5703,152,86922,74.066789,214.655755,0.8325600000000001,1.37216,0.59341,5.83
5704,152,86922,74.066498,214.657294,0.8325600000000001,1.37216,0.59341,5.48
5705,152,86922,74.06675600000001,214.655934,0.8325600000000001,1.37216,0.59341,5.85
5706,152,86922,74.066836,214.653601,0.8325600000000001,1.37216,0.59341,5.29
5707,152,86922,74.066548,214.655153,0.8325600000000001,1.37216,0.59341,6.0
5708,152,86922,74.06626,214.656705,0.8325600000000001,1.37216,0.59341,5.41
5709,152,86922,74.066518,214.655314,0.8325600000000001,1.37216,0.59341,5.99
5710,152,86922,74.066598,214.653002,0.83406,1.3826200000000002,0.5949,5.26
5711,152,86922,74.06630899999998,214.654554,0.8325600000000001,1.37216,0.59341,5.81
5712,152,86922,74.06602,214.656106,0.8325600000000001,1.37216,0.59341,5.53
5713,152,86922,74.06627900000002,214.654715,0.8325600000000001,1.37216,0.59341,5.81
5714,152,86922,74.06635899999998,214.652413,0.83406,1.3826200000000002,0.5949,5.06
5715,152,86922,74.066067,214.653949,0.83406,1.3826200000000002,0.5949,5.61
5716,152,86922,74.065776,214.655486,0.8325600000000001,1.37216,0.59341,5.38
5717,152,86922,74.066034,214.654125,0.83406,1.3826200000000002,0.5949,5.62
5718,152,86922,74.066118,214.651797,0.83406,1.3826200000000002,0.5949,4.99
5719,152,86922,74.065822,214.653331,0.83406,1.3826200000000002,0.5949,5.98
5720,152,86922,74.065526,214.654865,0.83406,1.3826200000000002,0.5949,5.38
5721,152,86922,74.065786,214.653519,0.83406,1.3826200000000002,0.5949,5.94
5722,152,86922,74.065878,214.651198,0.83406,1.3826200000000002,0.5949,5.25
5723,152,86922,74.065587,214.652738,0.83406,1.3826200000000002,0.5949,5.72
5724,152,86922,74.06529499999998,214.654277,0.82509,1.38561,0.60238,5.5
5725,152,86922,74.065554,214.652914,0.83406,1.3826200000000002,0.5949,5.7
