Unnamed: 0,path,orbit,img_block,line,sample,anr,aa,af,ba,bf,ca,cf,da,df,cloud,vis_confirmed,prediction
922,94,88229,30,18,813,0.421096,0.443673,0.452086,0.45447,0.481113,0.461341,0.538184,0.469474,0.575064,44,44.0,
923,94,88229,30,18,812,0.438204,0.450123,0.463865,0.464566,0.50425,0.472279,0.554451,0.503268,0.589507,44,44.0,
924,94,88229,30,17,812,0.447879,0.467511,0.468633,0.461621,0.515328,0.501586,0.578008,0.499482,0.588105,44,44.0,
925,94,88229,30,17,811,0.508316,0.513645,0.534819,0.544214,0.590769,0.526125,0.58544,0.530472,0.614046,44,44.0,
926,94,88229,30,16,811,0.497098,0.508316,0.528088,0.542952,0.580392,0.542111,0.599603,0.548281,0.626526,44,44.0,
927,94,88229,30,16,810,0.475924,0.494855,0.503549,0.51042,0.525424,0.513365,0.582636,0.52921,0.618393,44,44.0,
928,94,88229,30,15,810,0.494154,0.512523,0.529771,0.552067,0.586001,0.524723,0.577588,0.536221,0.614888,44,44.0,
929,94,88229,30,15,809,0.462603,0.485039,0.483356,0.470596,0.50453,0.501305,0.57282,0.514627,0.605633,44,44.0,
930,94,88229,30,14,809,0.522199,0.532996,0.533136,0.542531,0.582916,0.52907,0.584178,0.482795,0.586562,44,44.0,
931,94,88229,30,13,809,0.401465,0.416329,0.419414,0.459238,0.463304,0.473681,0.493593,0.407494,0.494154,44,44.0,
932,94,88229,30,13,808,0.461902,0.481954,0.469053,0.47971,0.494995,0.532295,0.567632,0.480271,0.549402,44,44.0,
933,94,88229,30,12,808,0.284797,0.304429,0.28045,0.28045,0.298259,0.408616,0.422919,0.379309,0.418713,44,44.0,
934,94,88229,30,12,807,0.478168,0.471437,0.456012,0.491209,0.506073,0.530192,0.547439,0.485039,0.532996,44,44.0,
935,94,88229,30,11,807,0.224501,0.266428,0.248058,0.240907,0.256612,0.389686,0.376505,0.369213,0.385479,44,44.0,
936,94,88229,30,11,806,0.429931,0.421096,0.406513,0.430211,0.438204,0.4856,0.503268,0.450824,0.493593,44,44.0,
937,94,88229,30,10,806,0.201363,0.238804,0.208515,0.203046,0.225903,0.352246,0.348179,0.356032,0.365707,44,44.0,
938,94,88229,30,10,805,0.401325,0.404129,0.362342,0.42362,0.389826,0.462042,0.420395,0.427827,0.435259,44,44.0,
939,94,88229,30,9,805,0.132373,0.187341,0.171776,0.162942,0.186359,0.338644,0.291809,0.363324,0.327847,44,44.0,
940,94,88229,30,8,804,0.195895,0.237682,0.230811,0.23053,0.269653,0.329529,0.322097,0.371316,0.371597,44,44.0,
941,94,88229,30,7,804,0.379309,0.353368,0.338363,0.433997,0.383796,0.331633,0.314245,0.360098,0.370054,44,44.0,
942,94,88229,30,7,803,0.157473,0.172477,0.1865,0.23642,0.193791,0.226884,0.211319,0.262502,0.293491,44,44.0,
943,94,88229,30,6,803,0.141067,0.151023,0.179068,0.203327,0.211179,0.183975,0.182012,0.235158,0.266989,44,44.0,
944,94,88229,30,6,802,0.202485,0.228006,0.198699,0.194633,0.195194,0.308355,0.347899,0.33626,0.347338,44,44.0,
945,94,88229,30,5,802,0.198138,0.21763,0.202345,0.200662,0.187762,0.287041,0.326725,0.317891,0.324902,44,44.0,
946,94,88229,30,5,801,0.375663,0.393051,0.391789,0.362202,0.425163,0.441289,0.506914,0.449983,0.503128,44,44.0,
947,94,88229,30,4,801,0.360239,0.376505,0.361641,0.34888,0.405952,0.427406,0.490368,0.415628,0.481113,44,44.0,
948,94,88229,30,3,800,0.365988,0.378608,0.378468,0.394313,0.411982,0.418993,0.465548,0.396837,0.469754,44,44.0,
949,94,88229,30,2,800,0.178226,0.213843,0.23053,0.236279,0.250582,0.322238,0.339766,0.312842,0.358977,44,44.0,
950,94,88229,30,2,799,0.371877,0.375663,0.338363,0.345375,0.366689,0.41703,0.452367,0.381413,0.440027,44,44.0,
951,94,88229,30,1,799,0.13055,0.173879,0.185097,0.185378,0.20571,0.312562,0.31733,0.297277,0.331492,44,44.0,
952,94,88229,30,1,798,0.3486,0.343271,0.314245,0.318592,0.34257,0.391088,0.419273,0.353087,0.419694,44,44.0,
953,94,88229,30,0,798,0.112741,0.139524,0.145834,0.157473,0.171215,0.269793,0.269934,0.264605,0.299521,44,44.0,
954,94,88229,30,0,797,0.191267,0.227445,0.235298,0.241748,0.260959,0.339485,0.331212,0.31102,0.352807,44,44.0,
955,94,88229,29,511,797,0.056006,0.075003,0.062198,0.106946,0.111168,0.182231,0.176743,0.219521,0.239362,44,44.0,
956,94,88229,29,511,796,0.059665,0.076832,0.060931,0.108494,0.116374,0.14874,0.135512,0.189126,0.209811,44,44.0,
957,94,88229,29,510,796,0.041653,0.056428,0.048689,0.071344,0.072189,0.100614,0.096533,0.14677,0.155635,44,44.0,
958,94,88229,29,509,796,0.039683,0.055021,0.047281,0.068249,0.068389,0.093578,0.091186,0.133823,0.141985,44,44.0,
959,94,88229,29,509,795,0.040668,0.055021,0.047844,0.068811,0.069374,0.093719,0.090201,0.13312,0.140859,44,44.0,
960,94,88229,29,508,795,0.039542,0.054177,0.047141,0.068108,0.068108,0.092311,0.088653,0.13115,0.139734,44,44.0,
961,94,88229,29,508,794,0.040105,0.054458,0.048407,0.068389,0.069796,0.093578,0.089216,0.13115,0.140296,44,44.0,
962,94,88229,29,507,794,0.040527,0.054599,0.048266,0.068108,0.069093,0.093156,0.088653,0.129743,0.140578,44,44.0,
963,94,88229,29,507,793,0.041512,0.055302,0.04897,0.068389,0.070219,0.093437,0.090341,0.131572,0.140719,44,44.0,
964,94,88229,29,506,793,0.040668,0.05488,0.048548,0.068108,0.069656,0.092593,0.09006,0.130587,0.140437,44,44.0,
965,94,88229,29,506,792,0.041653,0.056428,0.049392,0.068671,0.070781,0.094281,0.091186,0.132698,0.141844,44,44.0,
966,94,88229,29,505,792,0.041934,0.055725,0.049252,0.06853,0.070078,0.093719,0.089919,0.132838,0.143111,44,44.0,
967,94,88229,29,504,792,0.042216,0.05685,0.05094,0.070781,0.071766,0.094844,0.092171,0.135934,0.148458,44,44.0,
968,94,88229,29,504,791,0.043201,0.058258,0.051362,0.072329,0.073033,0.095548,0.095126,0.138467,0.149725,44,44.0,
969,94,88229,29,503,791,0.061635,0.071204,0.065575,0.082883,0.081054,0.103006,0.10385,0.145784,0.157042,44,44.0,
970,94,88229,29,503,790,0.05094,0.070641,0.069656,0.080491,0.090201,0.114264,0.113138,0.16056,0.168299,44,44.0,
971,94,88229,29,502,790,0.094563,0.105539,0.106243,0.107931,0.117922,0.140156,0.149162,0.175617,0.191237,44,44.0,
972,94,88229,29,502,789,0.129461,0.140859,0.158871,0.153946,0.17815,0.190674,0.23894,0.208967,0.258359,44,44.0,
973,94,88229,29,501,789,0.084009,0.098362,0.088653,0.122144,0.12932,0.155494,0.161123,0.203198,0.236829,44,44.0,
974,94,88229,29,501,788,0.069937,0.087527,0.074722,0.108916,0.108775,0.150287,0.142548,0.19391,0.22529,44,44.0,
975,94,88229,29,500,788,0.060931,0.077255,0.064308,0.094141,0.104413,0.121722,0.124114,0.187859,0.210515,44,44.0,
976,94,88229,29,499,788,0.150147,0.157886,0.1645,0.155213,0.197287,0.172662,0.189548,0.22909,0.268773,44,44.0,
977,94,88229,29,499,787,0.16647,0.177165,0.157746,0.163093,0.184764,0.186734,0.206575,0.245976,0.272853,44,44.0,
978,94,88229,29,498,787,0.271165,0.283126,0.309018,0.302264,0.321261,0.291147,0.343353,0.315773,0.368542,44,44.0,
979,94,88229,29,498,786,0.308033,0.313662,0.355174,0.345464,0.359958,0.301982,0.392605,0.32506,0.402033,44,44.0,
980,94,88229,29,497,786,0.320276,0.329844,0.345042,0.345886,0.390494,0.356581,0.439042,0.356581,0.455506,44,44.0,
981,94,88229,29,497,785,0.272572,0.302826,0.289599,0.35053,0.343916,0.302264,0.317743,0.305922,0.357144,44,44.0,
